log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
8.519408982882236,0.7636363636363637,0.7833333333333333,0.7609416445623343,0.7580645161290323,1,MinMaxScaler,,UMAP,LogisticRegression
10.813096016735146,0.7,0.7555555555555556,0.6871053506148221,0.6710526315789473,2,MinMaxScaler,,UMAP,LogisticRegression
10.485426440470444,0.7090909090909091,0.7192982456140351,0.7254704301075268,0.6212121212121212,3,MinMaxScaler,,UMAP,LogisticRegression
8.191739406617534,0.7727272727272727,0.8031496062992126,0.76657824933687,0.7391304347826086,4,MinMaxScaler,,UMAP,LogisticRegression
8.847078559146937,0.7545454545454545,0.7692307692307692,0.7706590833054533,0.6617647058823529,5,MinMaxScaler,,UMAP,LogisticRegression
11.79610474552925,0.6727272727272727,0.7352941176470588,0.654734024757444,0.6666666666666666,6,MinMaxScaler,,UMAP,LogisticRegression
10.485426440470444,0.7090909090909091,0.728813559322034,0.7216666666666666,0.6323529411764706,7,MinMaxScaler,,UMAP,LogisticRegression
10.157756864205743,0.7181818181818181,0.7633587786259542,0.7098806366047745,0.684931506849315,8,MinMaxScaler,,UMAP,LogisticRegression
8.928244417487734,0.7522935779816514,0.7768595041322314,0.7483096686950643,0.746031746031746,9,MinMaxScaler,,UMAP,LogisticRegression
9.258920136653947,0.7431192660550459,0.7586206896551725,0.7535593220338982,0.6666666666666666,10,MinMaxScaler,,UMAP,LogisticRegression
