log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
9.50241771167634,0.7363636363636363,0.7478260869565219,0.7360742705570293,0.7543859649122807,1,QuantileTransformer,,UMAP,LogisticRegression
12.123774321793952,0.6636363636363637,0.704,0.6571950814223995,0.6666666666666666,2,QuantileTransformer,,UMAP,LogisticRegression
11.46843516926455,0.6818181818181818,0.6728971962616822,0.689516129032258,0.6101694915254238,3,QuantileTransformer,,UMAP,LogisticRegression
11.140765592999847,0.6909090909090909,0.7258064516129032,0.6860079575596817,0.6818181818181818,4,QuantileTransformer,,UMAP,LogisticRegression
9.830087287941042,0.7272727272727273,0.7272727272727273,0.736032117765139,0.6557377049180327,5,QuantileTransformer,,UMAP,LogisticRegression
13.434452626852758,0.6272727272727273,0.6611570247933883,0.6237872198059551,0.6666666666666666,6,QuantileTransformer,,UMAP,LogisticRegression
10.157756864205744,0.7181818181818181,0.7304347826086957,0.7283333333333334,0.6461538461538462,7,QuantileTransformer,,UMAP,LogisticRegression
10.813096016735146,0.7,0.7401574803149606,0.6936339522546419,0.6811594202898551,8,QuantileTransformer,,UMAP,LogisticRegression
10.250947294152589,0.7155963302752294,0.7102803738317757,0.7197430696416498,0.7755102040816326,9,QuantileTransformer,,UMAP,LogisticRegression
8.26689297915531,0.7706422018348624,0.7826086956521738,0.7805084745762713,0.6923076923076923,10,QuantileTransformer,,UMAP,LogisticRegression
