log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model,features_selections,ID
19.00483542335268,0.4727272727272727,0.0,0.5,0.0,1,StandardScaler,,SE,LogisticRegression,LogisticRegressionCV,0
19.33250499961738,0.4636363636363636,0.0,0.5,0.0,2,StandardScaler,,SE,LogisticRegression,LogisticRegressionCV,0
20.31551372841148,0.43636363636363634,0.6075949367088608,0.5,0.43636363636363634,3,StandardScaler,,SE,LogisticRegression,LogisticRegressionCV,0
19.00483542335268,0.4727272727272727,0.0,0.5,0.0,4,StandardScaler,,SE,LogisticRegression,LogisticRegressionCV,0
19.98784415214678,0.44545454545454544,0.6163522012578617,0.5,0.44545454545454544,5,StandardScaler,,SE,LogisticRegression,LogisticRegressionCV,0
19.98784415214678,0.44545454545454544,0.0,0.5,0.0,6,StandardScaler,,SE,LogisticRegression,LogisticRegressionCV,0
19.66017457588208,0.45454545454545453,0.625,0.5,0.45454545454545453,7,StandardScaler,,SE,LogisticRegression,LogisticRegressionCV,0
19.00483542335268,0.4727272727272727,0.0,0.5,0.0,8,StandardScaler,,SE,LogisticRegression,LogisticRegressionCV,0
19.179191711640318,0.46788990825688076,0.0,0.5,0.0,9,StandardScaler,,SE,LogisticRegression,LogisticRegressionCV,0
19.50986743080653,0.45871559633027525,0.628930817610063,0.5,0.45871559633027525,10,StandardScaler,,SE,LogisticRegression,LogisticRegressionCV,0
